Topography,Construction Type,Amount of Land (sqft),Land Price per sqft,Number of Floors,Architectural Style,Quality Level of Raw Materials,Furnished,Luxury Level,Building Area (sqft),Construction Cost per sqft,Raw Materials Cost per sqft,Flooring Cost per sqft,Ceiling Cost per sqft,Plumbing Cost per sqft,Wiring Cost per sqft,Price
suburban,residential,3877,2495,2,modern,low,Furnished,basic,3682,1615,1454,436,176,191,170,19235005
rural,commercial,4605,295,7,modern,low,Furnished,luxury,4368,1701,1086,551,91,292,108,35867796
urban,commercial,4294,6346,5,contemporary,low,Non-Furnished,standard,4075,1570,1443,387,164,199,157,49036505
metropolitan,residential,10388,41568,1,contemporary,medium,Furnished,standard,9868,1625,1068,386,57,231,118,420079286
rural,commercial,7467,846,13,contemporary,medium,Non-Furnished,standard,7085,1747,1133,418,132,252,140,75827743
suburban,residential,9362,1891,1,modern,low,Furnished,basic,8893,1694,1344,398,71,281,125,38757574
suburban,commercial,5535,2608,23,contemporary,low,Non-Furnished,luxury,5244,1714,1208,514,69,238,195,102785595
metropolitan,commercial,6613,38286,19,modern,medium,Non-Furnished,standard,6270,1518,1186,372,153,215,165,349577434
urban,commercial,6860,9415,7,contemporary,high,Furnished,luxury,6517,1712,1396,443,75,278,142,144620514
suburban,commercial,10881,2351,13,traditional,medium,Furnished,standard,10335,1571,1328,332,87,153,192,115788382
suburban,commercial,2368,1611,26,contemporary,medium,Non-Furnished,basic,2236,1682,1162,536,129,199,155,41990766
metropolitan,residential,4125,34084,4,modern,high,Furnished,luxury,3916,1687,1001,337,69,275,139,172539842
metropolitan,commercial,10315,48420,18,traditional,low,Furnished,luxury,9792,1724,1347,574,151,252,187,693560211
rural,residential,11052,293,4,modern,low,Non-Furnished,basic,10496,1634,1259,316,164,276,195,39027063
metropolitan,residential,3554,32184,4,modern,low,Furnished,luxury,3376,1736,1473,415,126,244,166,118403541
metropolitan,commercial,11210,30285,26,traditional,low,Non-Furnished,basic,10634,1790,1331,600,98,240,192,484891094
metropolitan,residential,7453,20345,3,contemporary,low,Non-Furnished,standard,7080,1547,1407,588,161,211,138,152802874
rural,residential,6003,805,3,contemporary,medium,Non-Furnished,luxury,5700,1672,1396,578,118,268,154,34928996
metropolitan,residential,2071,49821,5,modern,low,Non-Furnished,standard,1965,1643,1154,571,76,171,148,93199932
metropolitan,residential,3586,43659,5,modern,high,Furnished,luxury,3405,1575,1184,474,174,185,134,191459530
urban,commercial,10119,13820,12,contemporary,high,Non-Furnished,standard,9612,1685,1186,529,122,220,181,282516467
rural,residential,2278,974,3,contemporary,medium,Non-Furnished,luxury,2163,1672,1480,463,82,184,109,12723559
rural,commercial,5283,761,1,modern,high,Furnished,luxury,5018,1595,1336,466,51,183,145,31055593
rural,commercial,10948,434,1,traditional,low,Furnished,basic,10400,1695,1440,507,74,281,115,42695247
urban,residential,6756,9868,1,modern,high,Non-Furnished,basic,6418,1568,1273,333,109,228,172,80462379
suburban,residential,10587,2335,3,traditional,high,Non-Furnished,basic,10056,1612,1400,548,200,221,171,69047627
suburban,residential,8420,4179,4,traditional,medium,Furnished,basic,7996,1678,1062,350,172,154,134,58652160
urban,residential,1546,18694,2,modern,high,Non-Furnished,luxury,1468,1563,1413,418,184,182,170,38424043
metropolitan,residential,10622,42743,3,modern,medium,Non-Furnished,basic,10089,1783,1424,305,118,265,157,405851361
metropolitan,residential,11782,40797,5,modern,low,Non-Furnished,luxury,11190,1744,1145,378,74,237,171,480730891
suburban,residential,11084,2102,1,contemporary,low,Furnished,standard,10529,1696,1417,464,151,196,138,53829818
suburban,residential,1485,2544,4,modern,high,Non-Furnished,standard,1408,1525,1413,359,66,180,158,10400210
rural,residential,6495,661,3,contemporary,high,Non-Furnished,standard,6168,1762,1267,332,149,263,101,31960743
urban,commercial,6114,19501,16,modern,low,Furnished,basic,5808,1503,1277,386,170,165,162,155433239
urban,commercial,9141,5030,14,modern,high,Furnished,luxury,8680,1561,1062,502,147,286,175,180764277
suburban,commercial,9429,4766,14,contemporary,low,Non-Furnished,basic,8946,1662,1321,498,81,259,198,123678810
rural,residential,6864,665,5,modern,low,Furnished,basic,6520,1505,1280,568,184,203,127,32664572
urban,residential,10965,10856,1,contemporary,low,Furnished,luxury,10416,1748,1074,470,148,162,158,141798417
rural,residential,9396,755,4,contemporary,medium,Furnished,luxury,8924,1519,1466,560,68,219,156,57938690
urban,residential,1936,19081,2,traditional,high,Non-Furnished,standard,1838,1583,1121,593,197,294,198,44903447
metropolitan,residential,7478,43066,2,modern,high,Furnished,luxury,7104,1501,1104,547,158,269,102,384033339
urban,residential,10914,15531,2,modern,low,Non-Furnished,luxury,10368,1777,1179,597,115,235,196,194410373
suburban,commercial,10918,2268,21,contemporary,low,Non-Furnished,luxury,10353,1506,1376,314,154,181,144,139202663
metropolitan,commercial,10929,46667,8,contemporary,medium,Furnished,standard,10376,1728,1390,485,99,212,123,646174034
suburban,residential,3144,1746,1,modern,medium,Furnished,standard,2986,1753,1265,571,91,201,100,15869113
urban,residential,7669,17821,1,modern,medium,Furnished,standard,7285,1575,1263,501,151,191,177,148489570
rural,residential,7378,747,3,modern,low,Non-Furnished,basic,7008,1606,1062,431,55,241,162,26593713
urban,residential,4047,8324,1,traditional,medium,Furnished,basic,3844,1674,1180,489,149,264,180,39751794
suburban,commercial,7352,4778,25,modern,high,Furnished,luxury,6975,1654,1127,517,189,174,182,197881674
metropolitan,residential,9436,49416,4,contemporary,low,Non-Furnished,basic,8964,1585,1180,534,174,195,117,375127685
rural,commercial,4294,949,2,traditional,medium,Non-Furnished,luxury,4078,1560,1214,493,182,200,166,26188066
suburban,residential,11702,3501,2,modern,medium,Non-Furnished,standard,11116,1584,1221,579,96,212,193,81531473
suburban,commercial,3568,4741,19,traditional,high,Non-Furnished,standard,3382,1501,1065,355,53,179,135,60072729
urban,residential,8798,18809,2,traditional,medium,Non-Furnished,basic,8358,1695,1084,423,197,231,127,162338597
metropolitan,commercial,6189,34559,5,modern,medium,Furnished,basic,5875,1524,1342,407,199,161,101,243148321
rural,commercial,8228,709,18,traditional,high,Furnished,basic,7812,1774,1349,501,159,207,195,114942351
urban,residential,6938,17042,2,traditional,medium,Furnished,basic,6590,1783,1214,504,74,263,179,120437866
urban,commercial,11077,7587,10,contemporary,medium,Furnished,standard,10520,1741,1233,593,162,201,105,201225955
rural,residential,5043,924,5,modern,high,Non-Furnished,basic,4790,1774,1217,371,85,245,156,26908209
urban,commercial,5680,11365,29,modern,low,Non-Furnished,standard,5394,1662,1470,553,185,182,182,169202970
suburban,commercial,6034,3400,7,traditional,low,Furnished,luxury,5726,1752,1332,459,53,252,141,64652076
urban,residential,7684,13880,4,modern,low,Non-Furnished,standard,7296,1619,1249,590,83,204,196,120140314
urban,residential,3409,19378,3,modern,medium,Non-Furnished,luxury,3237,1747,1471,403,116,164,146,80951074
urban,residential,4879,12514,2,contemporary,medium,Non-Furnished,standard,4634,1777,1287,416,107,245,101,73088164
metropolitan,residential,3820,40537,4,contemporary,medium,Furnished,basic,3628,1794,1369,319,115,234,175,140220400
rural,residential,2060,306,2,modern,low,Non-Furnished,basic,1956,1744,1376,301,118,287,129,6528264
metropolitan,residential,3660,41168,3,traditional,low,Non-Furnished,standard,3477,1525,1095,410,146,275,180,134582315
suburban,commercial,4948,3020,20,contemporary,medium,Non-Furnished,standard,4700,1743,1178,526,193,230,174,89013716
suburban,commercial,10032,3841,22,modern,medium,Non-Furnished,basic,9526,1732,1315,511,118,154,108,176487107
urban,commercial,3069,10127,11,contemporary,high,Non-Furnished,standard,2915,1667,1144,443,112,225,169,66493871
metropolitan,commercial,2377,31679,10,modern,medium,Furnished,basic,2250,1551,1253,531,132,249,195,94013925
metropolitan,residential,5541,49258,1,contemporary,high,Non-Furnished,standard,5263,1766,1040,583,174,238,175,290925622
urban,commercial,8704,9386,18,contemporary,high,Furnished,luxury,8262,1619,1317,455,114,159,188,236551503
rural,commercial,5858,816,16,modern,medium,Non-Furnished,basic,5552,1583,1026,538,198,263,185,69937068
metropolitan,residential,11065,48650,1,modern,medium,Non-Furnished,standard,10511,1660,1309,563,75,256,197,522888219
rural,commercial,11454,577,3,traditional,low,Furnished,luxury,10881,1511,1132,331,126,202,113,56425004
metropolitan,residential,4174,45832,3,contemporary,high,Non-Furnished,basic,3963,1763,1342,409,161,291,182,187985875
suburban,commercial,10473,1014,18,modern,medium,Furnished,luxury,9936,1528,1106,489,186,243,106,157342996
suburban,residential,6098,3604,4,modern,high,Furnished,standard,5792,1694,1474,588,57,215,161,56202137
rural,residential,11353,263,1,modern,high,Non-Furnished,luxury,10785,1693,1284,459,108,171,135,48469308
rural,residential,4566,321,1,modern,medium,Furnished,luxury,4337,1660,1486,424,106,279,170,19352490
rural,residential,5853,913,3,traditional,medium,Non-Furnished,basic,5559,1590,1256,516,180,292,123,26792888
urban,residential,1242,19147,4,traditional,high,Furnished,basic,1176,1690,1205,481,159,205,146,26800290
urban,residential,11107,11903,1,traditional,high,Furnished,luxury,10551,1763,1475,435,67,258,140,191829707
suburban,commercial,4958,3128,21,contemporary,high,Non-Furnished,luxury,4704,1776,1236,539,190,295,151,114350724
suburban,residential,7208,4967,3,traditional,medium,Furnished,luxury,6846,1695,1193,354,187,193,100,65784573
